id	gene	locus	cls	chrom	strand	lo	hi	len	gc	trunc	cai	product
shuf02_of_cai03	shuffled_cai03	-	control_shuffled	-	.	-1	-1	1500	0.4560	none	NA	dinucleotide shuffle
shuf03_of_cai04	shuffled_cai04	-	control_shuffled	-	.	-1	-1	343	0.4985	none	NA	dinucleotide shuffle
shuf04_of_cai05	shuffled_cai05	-	control_shuffled	-	.	-1	-1	517	0.5571	none	NA	dinucleotide shuffle
shuf05_of_cai06	shuffled_cai06	-	control_shuffled	-	.	-1	-1	1500	0.5200	none	NA	dinucleotide shuffle
shuf06_of_cai07	shuffled_cai07	-	control_shuffled	-	.	-1	-1	799	0.5194	none	NA	dinucleotide shuffle
rand01	random_intergenic	-	control_random	ABDG02000003.1	+	7892	9160	1268	0.2721	none	NA	random intergenic region
rand02	random_intergenic	-	control_random	ABDG02000018.1	+	134982	136250	1268	0.4897	none	NA	random intergenic region
rand03	random_intergenic	-	control_random	ABDG02000008.1	+	8610	9878	1268	0.0789	none	NA	random intergenic region
rand04	random_intergenic	-	control_random	ABDG02000005.1	+	34	1302	1268	0.1782	none	NA	random intergenic region
rand05	random_intergenic	-	control_random	ABDG02000005.1	+	6286	7554	1268	0.1080	none	NA	random intergenic region
rand06	random_intergenic	-	control_random	ABDG02000008.1	+	8812	10080	1268	0.0710	none	NA	random intergenic region
